Description,The first island is where the adventure starts.
Magic Type,"""Base"" magic is the first magic element. It is involved in awaking the magic potential of the user. Base magic generally raises the player atttributes, letting the fight and defend against must physically stronger monsters.  "
,
,
Characters / Personagens,Description
"1. Mushroom: ""Mushy""","""Mushy"" is the very first character in the game.  He teaches the player how to use basic magic to boost there attack and defense so they can take on stronger opponents.  He teaches the player how to Recruit other mushrooms and Fuse 3 of them into a larger mushroom (evolve the character to a stronger form).  They also teach the player how to use magic wands to increase magic, and the basics of equipment such as swords, shields, armors, etc."
"3. Fairy: ""Beba""","Beba is the second character to join the players team.  The first task is to recruit 2 more baby faries and fuse them into a larger fairy.  Later in in the level, Beba helps teach the player the first attack spell ""Sprite Bite"" by facing the 4 fairy warriors in the forest."
"2. Wolf/Dog: ""Chase""","Chase is the third character.  He is a wolf pup that joins the team.  The player must recruit 2 other wofl pups and fuse to make a larger wolf.  This character will also teach the spell ""Animal Instincts"" to the player."
4. Baby Ogre,Merging 3 baby ogres gives a larger ogre to the player's team.  Also grants power increase to Attack points.
,
,
Spells,Effect
3. Healing,Heals Hit Points (HP).
1. Strengthen,Temporarily raises the player attack and defense points.
4. Sprite Bite,Calls fairies to attack one or more enemies.
2. Animal Instincts,Gives the player higher evasion so it is harder for enemies to hit them.
5. Puppy Eyes,Temporarily raises the player Attack +25 but lowers Deffense -5.
6. Burst of Rage,Temporarily raises the player Attack +25 but lowers Deffense -5.
Snake Bite,"Poisons enemies, causing them to lose HP each round and to lose attack and defense points (weakens them)."
,
,
Boses / Chefao,Reward
Four Fairy Warriors,"Grants the ""Sprite Bite"" spell to the player."
Giant Ogre,Giant Ogre that is bothering the Fairies.  Grants a magic orb that raises the players spell points and advances spells to level 2.
Poisonous Python,"Poisonous Python is terrorizing the Golden Wolf Pack.  Grants the spell ""Snake Bite"" to the player."
